"('motor', 16.0)"
"('face', 12.0)"
"('movements', 8.0)"
"('memory', 7.0)"
"('visual', 5.0)"
"('emotion', 5.0)"
"('word', 3.0)"
"('stimulation', 2.0)"
"('negative', 2.0)"
"('pain', 1.0)"
"('written', 0.0)"
"('writing', 0.0)"
"('working', 0.0)"
"('work', 0.0)"
"('women', 0.0)"
"('wm', 0.0)"
"('win', 0.0)"
"('voluntary', 0.0)"
"('voice', 0.0)"
"('vocal', 0.0)"
"('visuospatial', 0.0)"
"('visuomotor', 0.0)"
"('vision', 0.0)"
"('virtual', 0.0)"
"('violation', 0.0)"
"('videos', 0.0)"
"('verbal', 0.0)"
"('verb', 0.0)"
"('velocity', 0.0)"
"('value', 0.0)"
"('valence', 0.0)"
"('unpleasant', 0.0)"
"('unfamiliar', 0.0)"
"('uncertainty', 0.0)"
"('unattended', 0.0)"
"('trait', 0.0)"
"('training', 0.0)"
"('tracking', 0.0)"
"('topdown', 0.0)"
"('tool', 0.0)"
"('tones', 0.0)"
"('tom', 0.0)"
"('time', 0.0)"
"('threat', 0.0)"
"('thought', 0.0)"
"('thinking', 0.0)"
"('theory', 0.0)"
"('text', 0.0)"
"('temperature', 0.0)"
"('taste', 0.0)"
"('taskrelated', 0.0)"
"('taskirrelevant', 0.0)"
"('target', 0.0)"
"('tapping', 0.0)"
"('tactile', 0.0)"
"('syntactic', 0.0)"
"('syllables', 0.0)"
"('syllable', 0.0)"
"('switch', 0.0)"
"('suppression', 0.0)"
"('success', 0.0)"
"('subtraction', 0.0)"
"('subsequent', 0.0)"
"('subjective', 0.0)"
"('stroop', 0.0)"
"('stress', 0.0)"
"('strategy', 0.0)"
"('story', 0.0)"
"('stop', 0.0)"
"('spontaneous', 0.0)"
"('spoken', 0.0)"
"('speech', 0.0)"
"('speakers', 0.0)"
"('spatial', 0.0)"
"('space', 0.0)"
"('sound', 0.0)"
"('somatotopic', 0.0)"
"('somatosensory', 0.0)"
"('solving', 0.0)"
"('social', 0.0)"
"('smoking', 0.0)"
"('sleep', 0.0)"
"('skin', 0.0)"
"('skills', 0.0)"
"('simulation', 0.0)"
"('shortterm', 0.0)"
"('shock', 0.0)"
"('shifts', 0.0)"
"('shifting', 0.0)"
"('shape', 0.0)"
"('sexual', 0.0)"
"('sex', 0.0)"
"('serial', 0.0)"
"('sequential', 0.0)"
"('sequence', 0.0)"
"('sentence', 0.0)"
"('sensory', 0.0)"
"('sensorimotor', 0.0)"
"('sensations', 0.0)"
"('sensation', 0.0)"
"('semantic', 0.0)"
"('selfreported', 0.0)"
"('selfreferential', 0.0)"
"('self', 0.0)"
"('selection', 0.0)"
"('search', 0.0)"
"('schizophrenia', 0.0)"
"('scene', 0.0)"
"('scenarios', 0.0)"
"('salience', 0.0)"
"('sadness', 0.0)"
"('saccadic', 0.0)"
"('rule', 0.0)"
"('rotation', 0.0)"
"('risk', 0.0)"
"('reward', 0.0)"
"('reversal', 0.0)"
"('retrieval', 0.0)"
"('retention', 0.0)"
"('restingstate', 0.0)"
"('rest', 0.0)"
"('response', 0.0)"
"('repetition', 0.0)"
"('remembered', 0.0)"
"('remember', 0.0)"
"('relational', 0.0)"
"('rejection', 0.0)"
"('reinforcement', 0.0)"
"('rehearsal', 0.0)"
"('regulation', 0.0)"
"('recollection', 0.0)"
"('recognition', 0.0)"
"('recall', 0.0)"
"('reasoning', 0.0)"
"('reading', 0.0)"
"('readers', 0.0)"
"('read', 0.0)"
"('reactivity', 0.0)"
"('reaching', 0.0)"
"('rating', 0.0)"
"('ptsd', 0.0)"
"('psychophysical', 0.0)"
"('pseudoword', 0.0)"
"('prosody', 0.0)"
"('production', 0.0)"
"('probe', 0.0)"
"('probability', 0.0)"
"('probabilities', 0.0)"
"('priming', 0.0)"
"('prime', 0.0)"
"('pressure', 0.0)"
"('presentations', 0.0)"
"('preparatory', 0.0)"
"('preparation', 0.0)"
"('preference', 0.0)"
"('practice', 0.0)"
"('positive', 0.0)"
"('position', 0.0)"
"('polymorphism', 0.0)"
"('pleasant', 0.0)"
"('play', 0.0)"
"('plasticity', 0.0)"
"('planning', 0.0)"
"('placebo', 0.0)"
"('pitch', 0.0)"
"('picture', 0.0)"
"('physiological', 0.0)"
"('physical', 0.0)"
"('photographs', 0.0)"
"('phonology', 0.0)"
"('phonetic', 0.0)"
"('phasic', 0.0)"
"('perspective', 0.0)"
"('personality', 0.0)"
"('personal', 0.0)"
"('person', 0.0)"
"('perceptual', 0.0)"
"('perception', 0.0)"
"('perceived', 0.0)"
"('past', 0.0)"
"('pair', 0.0)"
"('overt', 0.0)"
"('outcome', 0.0)"
"('oscillations', 0.0)"
"('orthographic', 0.0)"
"('orienting', 0.0)"
"('orientation', 0.0)"
"('order', 0.0)"
"('oral', 0.0)"
"('olfactory', 0.0)"
"('old', 0.0)"
"('oddball', 0.0)"
"('object', 0.0)"
"('numerical', 0.0)"
"('number', 0.0)"
"('noxious', 0.0)"
"('novel', 0.0)"
"('noun', 0.0)"
"('nonwords', 0.0)"
"('nonverbal', 0.0)"
"('nonpainful', 0.0)"
"('noise', 0.0)"
"('nogo', 0.0)"
"('nociceptive', 0.0)"
"('neutral', 0.0)"
"('nback', 0.0)"
"('naming', 0.0)"
"('name', 0.0)"
"('music', 0.0)"
"('muscle', 0.0)"
"('multisensory', 0.0)"
"('movie', 0.0)"
"('mouth', 0.0)"
"('motivation', 0.0)"
"('motion', 0.0)"
"('moral', 0.0)"
"('mood', 0.0)"
"('monitoring', 0.0)"
"('money', 0.0)"
"('mirror', 0.0)"
"('mentalizing', 0.0)"
"('mental', 0.0)"
"('meaning', 0.0)"
"('mask', 0.0)"
"('manipulation', 0.0)"
"('male', 0.0)"
"('maintenance', 0.0)"
"('loss', 0.0)"
"('longterm', 0.0)"
"('locations', 0.0)"
"('load', 0.0)"
"('listening', 0.0)"
"('lip', 0.0)"
"('linguistic', 0.0)"
"('limb', 0.0)"
"('lexical', 0.0)"
"('letter', 0.0)"
"('learning', 0.0)"
"('learned', 0.0)"
"('language', 0.0)"
"('knowledge', 0.0)"
"('judgments', 0.0)"
"('judgment', 0.0)"
"('japanese', 0.0)"
"('irrelevant', 0.0)"
"('invalid', 0.0)"
"('interhemispheric', 0.0)"
"('interference', 0.0)"
"('intention', 0.0)"
"('intelligence', 0.0)"
"('integration', 0.0)"
"('inhibition', 0.0)"
"('incorrect', 0.0)"
"('incongruent', 0.0)"
"('incentive', 0.0)"
"('impulsivity', 0.0)"
"('improvement', 0.0)"
"('implicit', 0.0)"
"('imagine', 0.0)"
"('imagery', 0.0)"
"('image', 0.0)"
"('illness', 0.0)"
"('identity', 0.0)"
"('houses', 0.0)"
"('hits', 0.0)"
"('hierarchical', 0.0)"
"('heat', 0.0)"
"('heart', 0.0)"
"('hearing', 0.0)"
"('happy', 0.0)"
"('hand', 0.0)"
"('habituation', 0.0)"
"('grasping', 0.0)"
"('grammatical', 0.0)"
"('gonogo', 0.0)"
"('goal', 0.0)"
"('go', 0.0)"
"('gesture', 0.0)"
"('german', 0.0)"
"('genotype', 0.0)"
"('gaze', 0.0)"
"('game', 0.0)"
"('gain', 0.0)"
"('future', 0.0)"
"('frequency', 0.0)"
"('foot', 0.0)"
"('food', 0.0)"
"('fluency', 0.0)"
"('finger', 0.0)"
"('female', 0.0)"
"('feelings', 0.0)"
"('feedback', 0.0)"
"('fearful', 0.0)"
"('famous', 0.0)"
"('family', 0.0)"
"('familiarity', 0.0)"
"('familiar', 0.0)"
"('fact', 0.0)"
"('facial', 0.0)"
"('eye', 0.0)"
"('expression', 0.0)"
"('explicit', 0.0)"
"('experience', 0.0)"
"('expectancy', 0.0)"
"('executive', 0.0)"
"('execution', 0.0)"
"('error', 0.0)"
"('episodic', 0.0)"
"('episode', 0.0)"
"('epilepsy', 0.0)"
"('english', 0.0)"
"('engaged', 0.0)"
"('endogenous', 0.0)"
"('encoded', 0.0)"
"('empathy', 0.0)"
"('elderly', 0.0)"
"('effort', 0.0)"
"('eating', 0.0)"
"('ear', 0.0)"
"('dyslexia', 0.0)"
"('drug', 0.0)"
"('dopamine', 0.0)"
"('dominant', 0.0)"
"('distress', 0.0)"
"('distractor', 0.0)"
"('disorder', 0.0)"
"('disgust', 0.0)"
"('discrimination', 0.0)"
"('digit', 0.0)"
"('difficulty', 0.0)"
"('development', 0.0)"
"('depression', 0.0)"
"('demand', 0.0)"
"('delay', 0.0)"
"('default', 0.0)"
"('decision', 0.0)"
"('da', 0.0)"
"('cue', 0.0)"
"('crossmodal', 0.0)"
"('craving', 0.0)"
"('covert', 0.0)"
"('counting', 0.0)"
"('correct', 0.0)"
"('control', 0.0)"
"('contextual', 0.0)"
"('contexts', 0.0)"
"('conscious', 0.0)"
"('congruent', 0.0)"
"('conflict', 0.0)"
"('confidence', 0.0)"
"('conditioning', 0.0)"
"('concepts', 0.0)"
"('concentration', 0.0)"
"('comprehension', 0.0)"
"('competition', 0.0)"
"('color', 0.0)"
"('cocaine', 0.0)"
"('classification', 0.0)"
"('choice', 0.0)"
"('chinese', 0.0)"
"('child', 0.0)"
"('character', 0.0)"
"('causality', 0.0)"
"('category', 0.0)"
"('categorization', 0.0)"
"('categorical', 0.0)"
"('card', 0.0)"
"('calculation', 0.0)"
"('bottomup', 0.0)"
"('body', 0.0)"
"('bipolar', 0.0)"
"('biological', 0.0)"
"('bimodal', 0.0)"
"('awareness', 0.0)"
"('avoidance', 0.0)"
"('aversive', 0.0)"
"('automatic', 0.0)"
"('autobiographical', 0.0)"
"('autism', 0.0)"
"('auditory', 0.0)"
"('audiovisual', 0.0)"
"('attribution', 0.0)"
"('attention', 0.0)"
"('attend', 0.0)"
"('association', 0.0)"
"('articulatory', 0.0)"
"('arithmetic', 0.0)"
"('approach', 0.0)"
"('aphasia', 0.0)"
"('anxiety', 0.0)"
"('antipsychotic', 0.0)"
"('anticipatory', 0.0)"
"('anticipation', 0.0)"
"('animal', 0.0)"
"('anger', 0.0)"
"('amount', 0.0)"
"('ambiguous', 0.0)"
"('allele', 0.0)"
"('alcohol', 0.0)"
"('aging', 0.0)"
"('agerelated', 0.0)"
"('age', 0.0)"
"('affect', 0.0)"
"('adults', 0.0)"
"('adolescence', 0.0)"
"('adhd', 0.0)"
"('addiction', 0.0)"
"('adaptation', 0.0)"
"('action', 0.0)"
"('acquisition', 0.0)"
"('acoustic', 0.0)"
"('ability', 0.0)"
"('2back', 0.0)"
"('1back', 0.0)"
